city,country_code,Latitude,Longitude,Temperature,Wind_speed,Humidity,Cloudiness
durusu,tr,37.53,40.83,12.0,2.1,71.0,75.0
george town,ky,19.29,-81.37,28.0,6.7,78.0,20.0
ithaca,us,42.44,-76.5,10.0,1.5,31.0,1.0
barsovo,ru,61.17,73.17,-13.0,2.0,78.0,0.0
tema,gh,5.66,-0.01,27.0,2.1,88.0,0.0
kampong thum,kh,12.71,104.89,26.01,3.36,88.0,12.0
yumen,cn,40.29,97.04,11.44,1.86,42.0,92.0
cubulco,gt,15.11,-90.63,22.0,4.1,68.0,40.0
linhares,br,-19.38,-40.06,20.56,2.41,80.0,68.0
manadhoo,mv,5.77,73.38,29.84,3.46,98.0,48.0
nonantola,it,44.68,11.04,11.0,1.0,87.0,0.0
lensk,ru,60.71,114.91,2.84,3.91,74.0,48.0
launceston,au,-41.43,147.14,16.0,2.1,72.0,90.0
purranque,cl,-40.91,-73.16,14.0,5.1,82.0,90.0
el jicaro,ni,13.72,-86.13,22.91,2.16,72.0,88.0
zhuhai,cn,40.71,112.04,13.0,5.0,76.0,40.0
rostovka,ru,55.02,73.58,4.0,6.0,100.0,75.0
meylan,fr,45.21,5.78,17.0,0.61,58.0,0.0
pauini,br,-7.71,-67.0,23.86,2.56,96.0,56.0
saryozek,kz,44.36,77.98,-0.17,2.11,70.0,0.0
henderson,us,36.04,-114.98,29.0,4.1,13.0,1.0
norman wells,ca,65.28,-126.83,-5.0,3.6,38.0,75.0
longyearbyen,sj,78.22,15.64,-5.0,6.7,73.0,75.0
tual,id,-5.67,132.75,27.11,3.76,100.0,68.0
alvaraes,br,-3.22,-64.8,25.0,1.06,94.0,20.0
roncesvalles,co,4.01,-75.61,25.0,0.71,69.0,75.0
conde,br,-11.81,-37.61,25.09,4.01,90.0,88.0
camacha,pt,33.08,-16.33,17.0,10.3,82.0,75.0
mamallapuram,in,12.63,80.17,29.0,3.6,83.0,20.0
willmar,us,45.12,-95.04,13.0,1.5,47.0,1.0
rurrenabaque,bo,-14.44,-67.53,23.06,0.96,86.0,44.0
nome,us,30.04,-94.42,22.0,6.2,78.0,90.0
aligudarz,ir,33.4,49.69,2.69,1.41,77.0,0.0
xuanzhou,cn,30.95,118.78,19.59,3.41,100.0,92.0
takoradi,gh,4.89,-1.75,26.34,1.86,96.0,80.0
yerbogachen,ru,61.28,108.01,4.66,4.36,72.0,68.0
calamar,co,1.96,-72.65,22.19,0.51,92.0,80.0
kinwat,in,19.62,78.2,22.46,1.16,47.0,0.0
tiksi,ru,71.64,128.87,-4.29,1.91,84.0,0.0
lar,ir,27.66,54.32,19.0,0.61,39.0,0.0
mimongo,ga,-1.62,11.6,22.84,1.36,83.0,12.0
zimmi,sl,7.31,-11.31,25.06,1.26,92.0,0.0
san roque,mx,27.97,-111.0,27.0,4.6,32.0,90.0
mangai,cd,-4.07,19.59,23.94,1.01,96.0,64.0
kijang,id,0.9,104.63,28.36,1.91,93.0,44.0
santa cruz de la palma,es,28.68,-17.76,18.0,2.6,63.0,20.0
chokwe,mz,-24.53,32.98,20.56,2.01,93.0,12.0
katsuura,jp,33.93,134.5,18.0,1.5,55.0,0.0
maxixe,mz,-23.86,35.35,21.19,3.06,100.0,0.0
pozo colorado,py,-23.49,-58.8,26.71,2.86,68.0,0.0
southbridge,nz,-43.81,172.25,13.0,1.5,47.0,0.0
treinta y tres,uy,-33.23,-54.39,21.06,2.31,92.0,36.0
cristalina,br,-16.77,-47.61,21.31,1.91,72.0,64.0
kara,tg,9.55,1.2,27.0,3.1,74.0,20.0
guilin,cn,25.28,110.29,22.0,1.0,94.0,90.0
severnoye,ru,54.09,52.54,-0.07,6.31,80.0,76.0
bauta,cu,22.98,-82.55,26.0,5.7,69.0,40.0
zamora,ec,-4.07,-78.95,16.26,0.66,71.0,24.0
mechanicsville,us,37.62,-77.34,16.0,1.5,35.0,75.0
columbus,us,32.46,-84.99,21.0,3.1,60.0,75.0
rafai,cf,4.95,23.92,22.96,1.91,93.0,68.0
sarahan,in,31.51,77.79,-15.54,1.06,79.0,0.0
itaituba,br,-4.26,-55.99,26.16,1.31,85.0,44.0
dikson,ru,73.51,80.55,-11.17,7.36,93.0,80.0
kaka,tm,37.35,59.62,14.99,0.26,58.0,64.0
champasak,la,14.89,105.88,26.34,1.61,86.0,12.0
borovskoy,kz,53.8,64.15,-5.14,3.31,88.0,0.0
mehamn,no,71.03,27.85,-7.99,2.11,77.0,0.0
ciudad del maiz,mx,22.4,-99.6,28.34,4.51,40.0,0.0
poya,nc,-21.35,165.16,25.91,4.46,95.0,8.0
atakpame,tg,7.53,1.13,24.16,2.31,76.0,56.0
mweka,cd,-4.85,21.56,22.41,0.61,97.0,32.0
ahuimanu,us,21.44,-157.84,28.0,6.2,73.0,90.0
marion,us,40.59,-83.13,13.0,2.1,31.0,90.0
san jose,gt,16.98,-89.9,27.51,1.61,74.0,32.0
agirish,ru,61.92,63.02,-10.39,1.11,75.0,64.0
redcar,gb,54.62,-1.06,14.0,2.1,93.0,20.0
aykhal,ru,65.95,111.51,-0.07,4.56,87.0,64.0
sumenep,id,-7.02,113.87,28.49,2.51,100.0,48.0
kodiak,us,39.95,-94.76,17.0,7.7,33.0,1.0
tlacote el bajo,mx,20.66,-100.51,28.0,5.7,24.0,40.0
oliveira do hospital,pt,40.36,-7.86,13.49,1.36,84.0,80.0
nizwa,om,22.93,57.53,15.76,1.31,75.0,0.0
timmins,ca,48.48,-81.33,8.0,3.6,31.0,5.0
bilyayivka,ua,46.48,30.22,13.0,4.0,66.0,0.0
ko samui,th,9.54,99.94,29.0,2.6,74.0,20.0
workington,gb,54.64,-3.55,11.59,3.86,95.0,92.0
maniitsoq,gl,65.42,-52.9,-5.44,3.01,72.0,0.0
zheleznodorozhnyy,ru,55.75,38.0,5.0,10.0,86.0,75.0
zatoka,ua,49.85,23.68,14.0,2.0,47.0,0.0
pangoa,pe,-12.12,-73.0,18.46,0.81,100.0,88.0
kodyma,ua,48.1,29.13,15.84,5.46,66.0,0.0
almeirim,br,-1.53,-52.58,24.99,1.16,93.0,64.0
maamba,zm,-17.36,27.22,15.71,1.06,74.0,0.0
banamba,ml,13.55,-7.45,25.06,2.21,54.0,8.0
cubuk,tr,40.24,33.03,2.0,0.5,80.0,0.0
nelson,ca,49.49,-117.29,14.0,1.0,28.0,75.0
aksha,ru,50.28,113.29,6.21,1.81,72.0,8.0
ixtapa,mx,20.71,-105.21,26.0,4.1,78.0,40.0
gerede,tr,40.8,32.2,-3.74,1.01,82.0,0.0
kokoda,pg,-8.88,147.74,22.24,0.31,81.0,36.0
thaton,mm,16.91,97.37,26.69,1.31,100.0,0.0
baoding,cn,38.86,115.49,9.84,6.91,99.0,92.0
smidovich,ru,48.6,133.81,11.01,3.76,29.0,0.0
ures,mx,30.73,-112.95,27.61,4.96,27.0,92.0
villanueva de la serena,es,38.97,-5.8,13.51,2.76,97.0,92.0
neiafu,to,-18.65,-173.98,29.0,3.1,79.0,20.0
vienne,fr,45.53,4.87,20.0,2.81,55.0,0.0
spirit river,ca,55.78,-118.84,7.0,12.9,48.0,75.0
antofagasta,cl,-23.65,-70.4,17.0,5.1,82.0,75.0
ostrovskoye,ru,57.81,42.24,5.36,3.86,100.0,92.0
sakaiminato,jp,35.55,133.23,18.0,0.5,55.0,40.0
changchun,cn,43.88,125.32,7.0,4.0,56.0,0.0
aktash,ru,50.31,87.6,-11.17,1.71,64.0,0.0
petatlan,mx,17.52,-101.27,30.0,4.1,74.0,5.0
port hardy,ca,50.7,-127.42,8.0,4.1,75.0,75.0
ribeira grande,pt,38.52,-28.7,17.36,5.16,99.0,92.0
kuruman,za,-27.46,23.43,9.11,1.41,71.0,0.0
kassiopi,gr,39.79,19.92,14.0,1.0,87.0,20.0
winneba,gh,5.35,-0.62,27.0,2.1,88.0,0.0
kamaishi,jp,39.28,141.86,17.0,2.6,55.0,0.0
teya,ru,60.37,92.63,5.34,4.36,95.0,92.0
boca do acre,br,-8.76,-67.39,24.21,1.06,93.0,88.0
parvatsar,in,26.88,74.77,18.24,4.56,36.0,0.0
mizdah,ly,31.45,12.98,14.46,3.51,57.0,24.0
cockburn town,bs,24.03,-74.52,25.59,6.76,94.0,0.0
raton,us,36.9,-104.44,10.0,5.1,46.0,75.0
zunheboto,in,26.02,94.53,16.44,0.56,74.0,8.0
kansanshi,zm,-12.1,26.43,13.11,2.06,77.0,0.0
juneau,us,58.3,-134.42,8.0,5.1,81.0,90.0
honiara,sb,-9.43,159.96,30.0,1.0,70.0,20.0
faranah,gn,10.04,-10.74,27.16,5.66,60.0,0.0
nirgua,ve,10.15,-68.57,22.26,1.21,87.0,12.0
pareora,nz,-44.49,171.21,12.91,0.86,71.0,0.0
boguchany,ru,58.38,97.46,5.81,2.96,70.0,64.0
ankang,cn,32.73,108.99,16.69,1.11,90.0,88.0
kati,ml,12.75,-8.07,33.0,3.1,29.0,0.0
naron,es,43.52,-8.15,14.0,1.0,87.0,48.0
tonantins,br,-2.86,-67.77,25.66,0.91,91.0,64.0
gornopravdinsk,ru,60.06,69.92,-6.54,1.31,78.0,64.0
taseyevo,ru,57.22,94.9,6.84,2.56,63.0,76.0
zastron,za,-30.3,27.08,4.56,1.21,80.0,0.0
kasempa,zm,-13.46,25.83,16.84,2.51,60.0,80.0
santa elena,mx,20.33,-89.64,31.0,7.2,74.0,75.0
takab,ir,36.4,47.11,7.51,3.46,56.0,56.0
avesta,se,60.15,16.18,7.0,6.7,52.0,0.0
betare oya,cm,5.6,14.08,21.09,1.16,92.0,36.0
ambovombe,mg,-25.18,46.09,19.59,2.91,100.0,0.0
novyy urgal,ru,51.07,132.56,4.69,3.76,50.0,0.0
zhaotong,cn,27.34,103.71,14.59,1.41,99.0,92.0
quatre cocos,mu,-20.21,57.76,25.0,5.1,88.0,75.0
blantyre,mw,-15.79,35.0,18.31,1.31,91.0,0.0
goure,ne,13.98,10.27,23.26,1.71,36.0,36.0
altay,cn,47.83,88.13,-9.89,0.96,55.0,0.0
ngawen,id,-7.02,111.3,24.31,1.86,99.0,32.0
santiago de cao,pe,-7.96,-79.24,21.0,4.6,83.0,75.0
fort saint james,ca,54.43,-124.25,2.36,5.06,76.0,88.0
porto novo,cv,17.02,-25.06,20.0,6.7,72.0,40.0
kesinga,in,20.19,83.22,23.34,2.91,72.0,0.0
ambilobe,mg,-13.19,49.05,22.76,2.41,92.0,92.0
hermosa beach,us,33.86,-118.4,31.0,6.2,63.0,75.0
hasaki,jp,35.73,140.83,21.0,2.1,64.0,0.0
el fuerte,mx,26.42,-108.62,30.44,2.11,19.0,92.0
qeshm,ir,26.96,56.27,23.0,2.1,83.0,0.0
havoysund,no,71.0,24.66,-2.0,3.91,79.0,24.0
mbanza-ngungu,cd,-5.25,14.87,21.56,1.66,90.0,12.0
labuhan,id,-2.54,115.51,25.61,0.36,89.0,20.0
cermik,tr,38.14,39.45,5.0,3.1,65.0,0.0
avarua,ck,-21.21,-159.78,26.01,3.56,100.0,24.0
georgetown,gy,6.8,-58.16,25.0,2.1,94.0,75.0
mwanza,mw,-15.61,34.52,18.31,1.31,91.0,0.0
novocheremshansk,ru,54.35,50.17,4.21,7.91,86.0,92.0
luzhou,cn,28.89,105.45,19.44,1.86,100.0,92.0
bobcaygeon,ca,44.54,-78.55,9.0,4.6,36.0,1.0
